x,y,dtw,domain
-58.481201171875,-11.027410507202148,4,image
-58.87112808227539,-11.331504821777344,5,image
-59.04048156738281,-11.878328323364258,6,image
-59.75776290893555,-20.951501846313477,6,image
-63.44680404663086,-21.449249267578125,6,image
-58.64720153808594,-40.823753356933594,7,image
-67.7959213256836,-21.083995819091797,7,image
-56.74803161621094,-46.02351379394531,8,image
-53.33133316040039,-48.54925537109375,9,image
-48.22028732299805,-55.226627349853516,10,image
-39.129600524902344,-64.97431945800781,11,image
-30.09117889404297,-70.55863189697266,12,image
-29.738515853881836,-71.0585708618164,13,image
-12.082167625427246,-69.11193084716797,14,image
-11.663603782653809,-69.40902709960938,15,image
4.5677595138549805,-53.5477294921875,16,image
11.3562593460083,-50.696163177490234,17,image
16.798791885375977,-51.256290435791016,18,image
23.367626190185547,-49.85802459716797,19,image
30.821809768676758,-46.824913024902344,20,image
34.43003463745117,-38.74238204956055,21,image
34.81965255737305,-40.70332717895508,22,image
27.139144897460938,-34.164371490478516,23,image
21.404495239257812,-27.173755645751953,24,image
17.432090759277344,-21.891521453857422,26,image
-28.411840438842773,-4.29552698135376,27,image
-32.630374908447266,-4.78834342956543,28,image
-38.880409240722656,1.4530136585235596,31,image
-38.883914947509766,1.4980801343917847,31,image
-51.92045211791992,6.400806427001953,32,image
-56.163055419921875,9.815352439880371,33,image
-59.70570373535156,16.085777282714844,35,image
-63.8885612487793,15.878443717956543,38,image
-63.708702087402344,26.93026351928711,39,image
-58.827476501464844,28.007856369018555,40,image
-53.383705139160156,32.51593780517578,40,image
-51.46891784667969,45.213748931884766,41,image
-48.00331497192383,49.39842987060547,42,image
-42.94947814941406,58.850032806396484,43,image
-46.05867004394531,49.54264450073242,51,image
-46.131317138671875,49.532108306884766,52,image
-26.30396842956543,49.323280334472656,0,image
-25.850872039794922,49.25074005126953,0,image
-26.030750274658203,49.21904373168945,0,image
-25.717103958129883,49.247642517089844,0,image
-24.35454559326172,49.08680725097656,0,image
-20.966054916381836,48.13182830810547,0,image
-21.711498260498047,45.828758239746094,0,image
-21.86794090270996,46.16015625,0,image
-21.760271072387695,45.889278411865234,0,image
-17.231067657470703,40.519344329833984,0,image
-16.303007125854492,38.29050064086914,0,image
-16.983367919921875,33.4158935546875,0,image
-18.93821144104004,29.447980880737305,0,image
-20.575233459472656,25.50114631652832,0,image
-22.74507713317871,22.887550354003906,0,image
-22.93913459777832,22.91263771057129,0,image
-50.98234558105469,-2.8899152278900146,1,image
-50.092552185058594,-6.345682144165039,2,image
-50.386287689208984,-6.056973934173584,3,image
-52.502262115478516,-7.677659034729004,3,image
-52.485774993896484,-8.28710651397705,4,image
-51.466949462890625,-12.271718978881836,5,image
-49.870304107666016,-12.730257034301758,6,image
-50.05009841918945,-22.662860870361328,7,image
-50.170902252197266,-24.513864517211914,7,image
-47.44369125366211,-27.18160629272461,7,image
-50.43205642700195,-35.67082214355469,8,image
-52.8039665222168,-40.773563385009766,8,image
-52.55831527709961,-41.712703704833984,8,image
-52.25172805786133,-42.29888916015625,9,image
-39.06001663208008,-53.635353088378906,10,image
-39.37384033203125,-59.26151657104492,11,image
